,Names,Ages,Instruments,Email,Location,Bio,Songs,Genre,Artists,Score
0,Ada Grossman,24,Flute,845884@email.com,Fayetteville,I like to play the Flute and I live in Fayetteville.,"['Bohemian Rhapsody - Remastered 2011', 'Treaty (Radio Mix)', 'Oops!...I Did It Again', 'Space Oddity - 2015 Remaster', 'I Will Survive - Rerecorded']","['Rock', 'Rock', 'Pop', 'Rock', 'Pop']","['Queen', 'Yothu Yindi', 'Britney Spears', 'David Bowie', 'Gloria Gaynor']",54.0
1,Charlie Hayes,22,Oboe,267267@email.com,Knoxville,I like to play the Oboe and I live in Knoxville.,"['Light My Fire - 2017 Remaster', 'Single Ladies (Put a Ring on It)', 'Stayin\' Alive - From ""Saturday Night Fever"" Soundtrack', 'Wake Me Up Before You Go-Go', 'Friday on My Mind']","['Rock', 'Pop', 'Rock', 'Pop', 'Rock']","['The Doors', 'Beyoncé', 'Bee Gees', 'Wham!', 'The Easybeats']",54.0
2,Timothy Mullins,39,Saxophone,18077@email.com,Bridgeport,I like to play the Saxophone and I live in Bridgeport.,"['Clocks', 'Born in the U.S.A.', ""You're the Voice"", 'Are You Gonna Go My Way', 'Enter Sandman']","['Pop', 'Rock', 'Pop', 'Rock', 'Rock']","['Coldplay', 'Bruce Springsteen', 'John Farnham', 'Lenny Kravitz', 'Metallica']",54.0
3,Bruce Hyde,35,Piano,613459@email.com,Worcester,I like to play the Piano and I live in Worcester.,"[""Don't Be Cruel"", 'The Real Slim Shady', 'Imagine - Remastered 2010', 'American Pie', ""You're the Voice""]","['Rock', 'Rap', 'Rock', 'Rock', 'Pop']","['Elvis Presley', 'Eminem', 'John Lennon', 'Don McLean', 'John Farnham']",56.0
4,Kelli Gauthier,22,Saxophone,268490@email.com,Kansas City,I like to play the Saxophone and I live in Kansas City.,"['Wake Me Up Before You Go-Go', 'MMMBop', 'Karma Chameleon', 'Great Southern Land', 'Dancing Queen']","['Pop', 'Pop', 'Pop', 'Rock', 'Pop']","['Wham!', 'Hanson', 'Culture Club', 'ICEHOUSE', 'ABBA']",58.0
5,Michael Mcgee,39,Saxophone,362468@email.com,Atlanta,I like to play the Saxophone and I live in Atlanta.,"['Bohemian Rhapsody - Remastered 2011', 'Money For Nothing', 'Wonderwall - Remastered', 'My Sharona', 'Great Southern Land']","['Rock', 'Rock', 'Pop', 'Rock', 'Rock']","['Queen', 'Dire Straits', 'Oasis', 'The Knack', 'ICEHOUSE']",52.0
6,Kim Remington,26,Violin,772779@email.com,Grand Rapids,I like to play the Violin and I live in Grand Rapids.,"['Great Southern Land', 'You Can Call Me Al', 'Respect', ""Knockin' On Heaven's Door"", 'American Pie']","['Rock', 'Rock', 'Soul', 'Rock', 'Rock']","['ICEHOUSE', 'Paul Simon', 'Aretha Franklin', 'Bob Dylan', 'Don McLean']",58.0
7,Irma Moon,37,Flute,619185@email.com,Winston-Salem,I like to play the Flute and I live in Winston-Salem.,"['Born in the U.S.A.', 'Great Southern Land', 'Losing My Religion', ""Sweet Child O' Mine"", 'Thinking out Loud']","['Rock', 'Rock', 'Alternative', 'Metal', 'Pop']","['Bruce Springsteen', 'ICEHOUSE', 'R.E.M.', ""Guns N' Roses"", 'Ed Sheeran']",44.0
8,John Beltran,38,Oboe,17550@email.com,El Paso,I like to play the Oboe and I live in El Paso.,"['Bohemian Rhapsody - Remastered 2011', 'Thinking out Loud', 'Another Brick in the Wall, Pt. 2', 'Space Oddity - 2015 Remaster', 'My Generation - Original Mono Version']","['Rock', 'Pop', 'Rock', 'Rock', 'Rock']","['Queen', 'Ed Sheeran', 'Pink Floyd', 'David Bowie', 'The Who']",52.0
9,Raymond Adami,20,Saxophone,145222@email.com,New York,I like to play the Saxophone and I live in New York.,"['You Oughta Know', 'Uptown Funk (feat. Bruno Mars)', 'Beds Are Burning - Remastered', 'Throw Your Arms Around Me', 'Hey Jude']","['Alternative', 'Pop', 'Rock', 'Alternative', 'Rock']","['Alanis Morissette', 'Mark Ronson', 'Midnight Oil', 'Hunters & Collectors', 'Paul McCartney']",48.0
10,Heather Roush,20,Bass,194236@email.com,Sioux Falls,I like to play the Bass and I live in Sioux Falls.,"['Good Vibrations - Remastered 2001', 'Alive', 'Single Ladies (Put a Ring on It)', 'Imagine - Remastered 2010', 'Working Class Man']","['Pop', 'Alternative', 'Pop', 'Rock', 'Pop']","['The Beach Boys', 'Pearl Jam', 'Beyoncé', 'John Lennon', 'Jimmy Barnes']",54.0
11,Jacqueline Felton,32,Violin,1137548@email.com,Grand Prairie,I like to play the Violin and I live in Grand Prairie.,"['Dancing Queen', 'I Will Survive - Rerecorded', 'Respect', 'Somebody That I Used To Know', 'Rolling in the Deep']","['Pop', 'Pop', 'Soul', 'Pop', 'Soul']","['ABBA', 'Gloria Gaynor', 'Aretha Franklin', 'Gotye', 'Adele']",72.0
12,Donna Rhodes,18,Trombone,394043@email.com,South Burlington,I like to play the Trombone and I live in South Burlington.,"['Space Oddity - 2015 Remaster', 'Eagle Rock - 2011 Remaster', 'Great Southern Land', 'Enter Sandman', 'Better Be Home Soon']","['Rock', 'Rock', 'Rock', 'Rock', 'Rock']","['David Bowie', 'Daddy Cool', 'ICEHOUSE', 'Metallica', 'Crowded House']",50.0
13,Barbara Mitchel,18,Trumpet,1140120@email.com,Tulsa,I like to play the Trumpet and I live in Tulsa.,"['I Will Always Love You', 'Like a Virgin', 'Hotel California - 2013 Remaster', ""It's a Long Way to the Top (If You Wanna Rock 'N' Roll)"", 'Under the Bridge']","['Pop', 'Pop', 'Rock', 'Rock', 'Alternative']","['Whitney Houston', 'Madonna', 'Eagles', 'AC/DC', 'Red Hot Chili Peppers']",52.0
14,Cinda Holeman,18,Bass,962013@email.com,Worcester,I like to play the Bass and I live in Worcester.,"['Rehab', 'In The Air Tonight - 2015 Remastered', 'Purple Rain', 'Working Class Man', 'Song 2']","['Soul', 'Rock', 'Rock', 'Pop', 'Alternative']","['Amy Winehouse', 'Phil Collins', 'Prince', 'Jimmy Barnes', 'Blur']",58.0
15,Benjamin Dunston,31,Guitar,170039@email.com,Detroit,I like to play the Guitar and I live in Detroit.,"[""Can't Get You out of My Head"", 'Light My Fire - 2017 Remaster', ""What's Going On"", 'Somebody That I Used To Know', 'Eagle Rock - 2011 Remaster']","['Pop', 'Rock', 'Soul', 'Pop', 'Rock']","['Kylie Minogue', 'The Doors', 'Marvin Gaye', 'Gotye', 'Daddy Cool']",62.0
16,Thomas Miller,40,Trumpet,210922@email.com,Anchorage,I like to play the Trumpet and I live in Anchorage.,"['Thinking out Loud', 'Smoke On The Water - Remastered 2012', 'Wake Me Up Before You Go-Go', ""It's a Long Way to the Top (If You Wanna Rock 'N' Roll)"", 'Throw Your Arms Around Me']","['Pop', 'Rock', 'Pop', 'Rock', 'Alternative']","['Ed Sheeran', 'Deep Purple', 'Wham!', 'AC/DC', 'Hunters & Collectors']",52.0
