,userID,user,genre_match,user_matches
0,0,Ada Grossman,Classical,"['Charlie Hayes', 'Bruce Hyde', 'Michael Mcgee', 'Cody Geis']"
1,1,Charlie Hayes,Classical,"['Ada Grossman', 'Bruce Hyde', 'Michael Mcgee', 'Cody Geis']"
2,2,Timothy Mullins,Pop,"['Kelli Gauthier', 'Raymond Adami', 'David Vella', 'Douglas Shepherd', 'Frank Hart', 'Thelma Vannest', 'Anna Townsend', 'Anthony Buck', 'Matthew Boon', 'Aaron White', 'Dorothy Sandoval', 'Nellie Winslow']"
3,3,Bruce Hyde,Classical,"['Ada Grossman', 'Charlie Hayes', 'Michael Mcgee', 'Cody Geis']"
4,4,Kelli Gauthier,Pop,"['Timothy Mullins', 'Raymond Adami', 'David Vella', 'Douglas Shepherd', 'Frank Hart', 'Thelma Vannest', 'Anna Townsend', 'Anthony Buck', 'Matthew Boon', 'Aaron White', 'Dorothy Sandoval', 'Nellie Winslow']"
5,5,Michael Mcgee,Classical,"['Ada Grossman', 'Charlie Hayes', 'Bruce Hyde', 'Cody Geis']"
6,6,Kim Remington,Rock,"['John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
7,7,Irma Moon,Metal,"['Heidi Knecht', 'Michelle Favors']"
8,8,John Beltran,Rock,"['Kim Remington', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
9,9,Raymond Adami,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'David Vella', 'Douglas Shepherd', 'Frank Hart', 'Thelma Vannest', 'Anna Townsend', 'Anthony Buck', 'Matthew Boon', 'Aaron White', 'Dorothy Sandoval', 'Nellie Winslow']"
10,10,Heather Roush,Rock,"['Kim Remington', 'John Beltran', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
11,11,Jacqueline Felton,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
12,12,Donna Rhodes,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
13,13,Barbara Mitchel,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
14,14,Cinda Holeman,Alternative,"['Gloria Oneil', 'William Knox', 'Larry Booher', 'Monica Strickland']"
15,15,Benjamin Dunston,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
16,16,Thomas Miller,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Joseph Ham', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
17,17,Joseph Ham,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Ian Brown', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
18,18,David Vella,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'Raymond Adami', 'Douglas Shepherd', 'Frank Hart', 'Thelma Vannest', 'Anna Townsend', 'Anthony Buck', 'Matthew Boon', 'Aaron White', 'Dorothy Sandoval', 'Nellie Winslow']"
19,19,Douglas Shepherd,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'Raymond Adami', 'David Vella', 'Frank Hart', 'Thelma Vannest', 'Anna Townsend', 'Anthony Buck', 'Matthew Boon', 'Aaron White', 'Dorothy Sandoval', 'Nellie Winslow']"
20,20,Frank Hart,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'Raymond Adami', 'David Vella', 'Douglas Shepherd', 'Thelma Vannest', 'Anna Townsend', 'Anthony Buck', 'Matthew Boon', 'Aaron White', 'Dorothy Sandoval', 'Nellie Winslow']"
21,21,Ian Brown,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Peter Pollard', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
22,22,Heidi Knecht,Metal,"['Irma Moon', 'Michelle Favors']"
23,23,Peter Pollard,Rock,"['Kim Remington', 'John Beltran', 'Heather Roush', 'Jacqueline Felton', 'Donna Rhodes', 'Barbara Mitchel', 'Benjamin Dunston', 'Thomas Miller', 'Joseph Ham', 'Ian Brown', 'Adam Bento', 'Mark Altamirano', 'Kristina Wince', 'Tyler Stuart', 'Lloyd Allan', 'Liz Townes', 'Edwina Hargis', 'Jason Wallace', 'Troy Wires', 'Tiffany Clark', 'Rosaura Pace', 'Lenora Caver']"
24,24,Thelma Vannest,Pop,"['Timothy Mullins', 'Kelli Gauthier', 'Raymond Adami', 'David Vella', 'Douglas Shepherd', 'Frank Hart', 'Anna Townsend', 'Anthony Buck', 'Matthew Boon', 'Aaron White', 'Dorothy Sandoval', 'Nellie Winslow']"
